Clade	Species	TaxId	Phylum	Class	Order	Family	Accession_assembly	BUSCO_Duplicate	Unified_Cvalues_methods	n_markers	dS_sum	dN_sum	dS_ratesmean	dN_ratesmean	dNdS_ratesmean	BodyLength_cm	Source_BodyLength	BasalMetRate_mLO2hr_pantheria	AgeatFirstBirth_d_pantheria	PopulationDensity_nperkm2_pantheria	PopulationGrpSize_pantheria	MaxLongevity_y	Source_MaxLongevity	Mass_g	Source_mass	Metabolic_rate_w	Source_metabolic_rate	SexMaturity_d	Source_SexMaturity	DepthRangeShallow	DepthRangeDeep	DepthRange	BodyLenght_cm_log	MaxLongevity_y_log	Mass_g_log	Overall_repeat_bp	Overall_repeat_gsperc	dnaPT_DNA_bp	dnaPT_DNA_gsperc	dnaPT_RC_bp	dnaPT_RC_gsperc	dnaPT_LTR_bp	dnaPT_LTR_gsperc	dnaPT_PLE_bp	dnaPT_PLE_gsperc	dnaPT_LINE_bp	dnaPT_LINE_gsperc	dnaPT_SINE_bp	dnaPT_SINE_gsperc	dnaPT_Retroposon_bp	dnaPT_Retroposon_gsperc	dnaPT_Unknown_bp	dnaPT_Unknown_gsperc	dnaPT_Other_bp	dnaPT_Other_gsperc	DNA_recent_gsperc	LINE_recent_gsperc	LTR_recent_gsperc	Other_recent_gsperc	Overall_TEs_recent_gsperc	PLE_recent_gsperc	RC_recent_gsperc	Retroposon_recent_gsperc	SINE_recent_gsperc	Unknown_recent_gsperc	DNA_recent_bp	LINE_recent_bp	LTR_recent_bp	Other_recent_bp	Overall_TEs_recent_bp	PLE_recent_bp	RC_recent_bp	Retroposon_recent_bp	SINE_recent_bp	Unknown_recent_bp	n_markers_phylter_noshortbr	dN_CM_phylter_noshortbr	dS_CM_phylter_noshortbr	dNdS_CM_phylter_noshortbr	n_markers_phylter_noshortbr_gcpoor	dN_CM_phylter_noshortbr_gcpoor	dS_CM_phylter_noshortbr_gcpoor	dNdS_CM_phylter_noshortbr_gcpoor	n_markers_phylter_noshortbr_gcrich	dN_CM_phylter_noshortbr_gcrich	dS_CM_phylter_noshortbr_gcrich	dNdS_CM_phylter_noshortbr_gcrich	brlen_coevol_gcpoor	dS_coevol_gcpoor	dNdS_coevol_gcpoor	brlen_coevol_gcrich	dS_coevol_gcrich	dNdS_coevol_gcrich
Mammalia	Xerus_inauris	234690	Chordata	Mammalia	Rodentia	Sciuridae	GCA_004024805.1	7.1	3154396234.32785	760	58.231452552687	8.84739056313368	0.076620332306167	0.011641303372544	0.151934911036758	24.699	Pantheria	0.542325174825175	NA	NA	NA	13	Pantheria	572	Pantheria	0.003103146853147	AnAge	304.68	Pantheria	NA	NA	NA	3.2067627569844	2.56494935746154	6.3491389913798	889323020	28.31	28458928	0.9	120184	NA	146991184	4.68	128288	NA	269224012	8.57	108250888	3.44	77052	NA	333537076	10.61	2479176	0.07	0.581408664430803	2.89697195344033	1.94988158067049	NA	16.8720971408471	0.003934587194269	0.003963949785271	0.00058725182004	1.44138022969768	9.98747979119674	18339933	91381974	61506991	NA	532212797	124112	125039	18524	45466844	315044686	667	0.218698510698204	0.218698510698204	0.149719842427255	43	0.152577762400417	0.152577762400417	0.166623545483438	48	0.331724336885949	0.331724336885949	0.113724452202152	0.44315	0.120184	0.171485	0.374494	0.255704	0.129908
Mammalia	Sciurus_vulgaris	55149	Chordata	Mammalia	Rodentia	Sciuridae	GCA_902686455.2	15.8	3489885728.72928	786	62.6944852585163	8.7450711823895	0.079763976155873	0.01112604476131	0.139487088000321	21.349	Pantheria	NA	273.75	60.1	NA	12	Pantheria	333	Pantheria	NA	NA	313.67	Pantheria	NA	NA	NA	3.06100490017019	2.484906649788	5.80814248998044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	693	0.234257478227739	0.234257478227739	0.137213411779277	45	0.150085173873517	0.150085173873517	0.149890106152766	48	0.376393342614823	0.376393342614823	0.0963410982038656	0.496762	0.104938	0.151214	0.425261	0.252211	0.116766
Mammalia	Sylvilagus_bachmani	365149	Chordata	Mammalia	Lagomorpha	Leporidae	GCA_015711505.1	10.2	3257232276.46629	791	212.760205	22.94769677247	0.268976238938053	0.029010994655461	0.107857090908847	30.407	Pantheria	NA	NA	568	NA	NA	NA	717	Pantheria	NA	NA	154	AnAge	NA	NA	NA	3.41467284506358	NA	6.57507584059962	1002329288	30.97	17363756	0.53	31688	NA	35011840	1.08	114856	NA	191372612	5.91	288362984	8.91	4181148	0.12	456109608	14.09	9780796	0.3	0.143787953884923	1.36004645370908	0.449973688911564	NA	10.2387428259862	0.002163066093976	0.000522119401994	0.018031766490302	1.15479758736083	7.10335987564608	4683508	44299872	14656688	NA	333499636	70456	17007	587337	37614440	231372931	698	0.766551405158291	0.766551405158291	0.113397555976894	50	0.526968694224758	0.526968694224758	0.124066360521554	45	1.06267202159814	1.06267202159814	0.0942250481041208	0.748092	0.245068	0.123603	0.693849	0.428764	0.122677
Mammalia	Alouatta_palliata	30589	Chordata	Mammalia	Primates	Atelidae	GCA_004027835.1	17	3550140000	661	22.2702015673762	5.68999647293428	0.033691681645047	0.008608164104288	0.255498202641758	57.723	Pantheria	0.308115501519757	1382.13	59	NA	25	Pantheria	6580	Pantheria	0.001742249240122	AnAge	1368.74	Pantheria	NA	NA	NA	4.05565570760699	3.2188758248682	8.79179002431936	1022822912	28.94	72751172	2.05	236004	NA	154185896	4.36	332624	NA	302659508	8.56	77782752	2.2	46096	NA	382918556	10.83	31880604	0.9	1.20361146214769	3.9541232082849	1.82437075385916	NA	19.6802184222815	0.00673636104191	0.006567348399281	0.000482893264653	0.949971774888681	11.7280528632915	42729892	140376910	64767716	NA	698675306	239150	233150	17143	33725328	416362296	570	0.092477714059986	0.092477714059986	0.218785627570563	40	0.0648863154405957	0.0648863154405957	0.195554309244258	40	0.137719915503592	0.137719915503592	0.0893368444790284	0.292871	0.0725036	0.205023	0.291265	0.137302	0.116277
Mammalia	Ateles_geoffroyi	9509	Chordata	Mammalia	Primates	Atelidae	GCA_004024785.1	12.7	3119820000	709	8.15006548396502	2.56185283330698	0.011495155830698	0.003613332628078	0.314335245323776	43.373	Pantheria	NA	2080.5	19.2	NA	27.3	Pantheria	7610	Pantheria	NA	NA	1824.99	Pantheria	NA	NA	NA	3.76983712769386	3.30688670219091	8.93721845085573	756520264	24.35	54606208	1.75	152820	NA	119669396	3.85	232060	NA	219383236	7.06	52871616	1.7	23200	NA	280554584	9.03	29009324	0.93	0.839546770480555	2.37438303393954	1.27455580850767	NA	14.3360979340965	0.00498415407153	0.005833725788268	0.000396466801144	0.648194900813918	9.1869003970615	26192348	74076477	39763847	NA	447260451	155497	182002	12369	20222514	286614756	423	0.027465926841155	0.027465926841155	0.312386531865898	33	0.0124015118860639	0.0124015118860639	0.311504132885414	28	0.0268657377924727	0.0268657377924727	0.1432030422465	0.110195	0.0278596	0.304067	0.13298	0.0369875	0.196639
Mammalia	Ateles_hybridus	129801	Chordata	Mammalia	Primates	Atelidae	GCA_916098195.1	11.7	3205055994.01434	793	15.555946319401	4.21095863292938	0.01961657795637	0.005310162210504	0.270697683475391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	582	0.050535403609883	0.050535403609883	0.296297744589042	41	0.0307954433287069	0.0307954433287069	0.388658338919887	43	0.0875498251037525	0.0875498251037525	0.228290997539308	0.110195	0.0731218	0.423699	0.13298	0.144884	0.286847
Mammalia	Aotus_nancymaae	37293	Chordata	Mammalia	Primates	Aotidae	GCA_000952055.2	13.9	3469403696.82097	784	23.8354200562384	4.65811610968843	0.030402321500304	0.005941474629705	0.195428320486816	NA	NA	NA	NA	28.6	NA	NA	NA	795	Pantheria	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.67834211465433	849121708	24.74	23434444	0.68	35936	NA	86428348	2.51	392512	0.01	200947420	5.85	134244604	3.91	1361496	0.03	128689896	3.74	273582412	7.97	0.149916969393608	2.3196474260512	0.691227112876511	NA	6.26196854504169	0.00877567987351	0.000397429810673	0.000483360580548	0.462103456350391	2.62805295913347	5201225	80477934	23981459	NA	217252968	304464	13788	16770	16032234	91177767	688	0.084555565747639	0.084555565747639	0.19494673806616	46	0.0546136645120554	0.0546136645120554	0.198428904490883	46	0.154858651030825	0.154858651030825	0.137558917329563	0.304937	0.0623983	0.203917	0.32463	0.136316	0.164817
Mammalia	Callithrix_jacchus	9483	Chordata	Mammalia	Primates	Cebidae	GCA_009663435.2	15.9	3354540000	779	22.9599738821847	4.00071645437949	0.029473650683164	0.005135707900359	0.174247430546241	NA	NA	0.52233676975945	555.1	512	NA	16.8	Pantheria	291	Pantheria	0.002914089347079	AnAge	408.53	Pantheria	NA	NA	NA	NA	2.82137888640921	5.67332326717149	558970312	16.77	23236620	0.69	35616	NA	88754940	2.66	868112	0.02	192344380	5.77	88545148	2.65	83404	NA	142567728	4.27	22522484	0.67	0.113170579636727	1.10861493819027	0.507455139120608	NA	4.68951042486998	0.008500480757467	0.000398743233826	0.000253745694253	0.319393330294427	2.62994724808263	3796352	37188932	17022786	NA	157311503	285152	13376	8512	10714177	88222632	683	0.08540151072493	0.08540151072493	0.172297154302264	48	0.0507721543553449	0.0507721543553449	0.188562186469149	48	0.160538169630555	0.160538169630555	0.102618028742813	0.206999	0.0788827	0.206138	0.224185	0.188732	0.130171
Mammalia	Saguinus_imperator	9491	Chordata	Mammalia	Primates	Cebidae	GCA_004024885.1	18.7	4234370374.55144	676	19.4907639363291	4.18524688311769	0.028832491030073	0.006191193614079	0.214729750808626	NA	NA	NA	NA	18.4	NA	20.2	Pantheria	410	Pantheria	NA	NA	638	AnAge	NA	NA	NA	NA	3.00568260440716	6.01615715969835	1355813960	32.16	86761068	2.05	388492	NA	210837768	5	608592	0.01	354363948	8.4	91869156	2.17	35996	NA	598874184	14.2	12042680	0.28	1.35956160786068	4.29593955008837	2.62987714254858	NA	24.4718946652062	0.011206649764553	0.008378202787649	0.000707111744226	1.3134493510857	14.8503751549218	57568874	181905992	111358739	NA	1036230658	474531	354764	29942	55616310	628819886	591	0.080093326169957	0.080093326169957	0.204649791943732	39	0.0507657894112902	0.0507657894112902	0.230992469136057	42	0.135236722934769	0.135236722934769	0.149732339392943	0.206999	0.083703	0.233559	0.224185	0.173783	0.170622
Mammalia	Sapajus_apella	9515	Chordata	Mammalia	Primates	Cebidae	GCA_009761245.1	14.4	3309055064.76787	777	26.971241601263	5.0276055209709	0.034712022652848	0.006470534776024	0.186406157910634	NA	NA	NA	NA	NA	NA	46	AnAge	2642.5	AnAge	NA	NA	1703	AnAge	NA	NA	NA	NA	3.8286413964891	7.87948071774439	734031452	22.33	24102232	0.73	57652	NA	85625312	2.6	1174940	0.03	159295156	4.84	83746048	2.54	48412	NA	270745716	8.23	109226480	3.32	0.174598992379934	0.895484619090556	0.625886812023311	NA	9.41305123123052	0.014929378305232	0.00027807922338	0.000364978980687	0.508572139659728	7.1911808564701	5777577	29632079	20710939	NA	311483049	494021	9202	12077	16828932	237960134	685	0.099023951603407	0.099023951603407	0.179720112633741	47	0.0680657279576616	0.0680657279576616	0.192509548658892	48	0.161984533483906	0.161984533483906	0.105120969459701	0.321718	0.0717636	0.206931	0.344606	0.137008	0.130942
Mammalia	Pithecia_pithecia	43777	Chordata	Mammalia	Primates	Pitheciidae	GCA_004026645.1	12.5	3556399197.26122	729	28.2079981617735	5.58189824856182	0.038694098987344	0.007656924895147	0.197883529931812	34.709	Pantheria	NA	759.2	4.23	NA	20.7	Pantheria	1670	Pantheria	NA	NA	966.39	Pantheria	NA	NA	NA	3.54699901931751	3.03013370027132	7.4205789054108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	640	0.101657818336455	0.101657818336455	0.194592271768689	45	0.067683182980159	0.067683182980159	0.222194751047822	45	0.190822421614093	0.190822421614093	0.126767415774891	0.396187	0.0594332	0.220015	0.415619	0.129752	0.155512
Mammalia	Cercopithecus_mona	36226	Chordata	Mammalia	Primates	Cercopithecidae	GCA_014849445.1	12.4	3519172197.13385	799	12.7138722339963	2.94748680652264	0.015912230580721	0.003688969720304	0.231832344408905	51	Pantheria	NA	NA	NA	NA	30	Pantheria	3980	Pantheria	NA	NA	NA	NA	NA	NA	NA	3.93182563272433	3.40119738166216	8.28903709827848	676011976	19.34	52077940	1.49	85680	NA	131645868	3.76	312884	NA	232244580	6.64	77018224	2.2	46768	NA	154820488	4.43	27748456	0.79	0.354860327444047	0.913512009156318	0.695861558061185	NA	6.10285248476905	0.005636782139334	0.00173439450441	0.000433598626103	0.326082226037533	3.8039928652149	12488146	32148061	24488566	NA	214769888	198368	61036	15259	11475395	133869059	672	0.044004885037655	0.044004885037655	0.18386680983465	47	0.027504554374522	0.027504554374522	0.203154584319981	48	0.0901021144935239	0.0901021144935239	0.141508679287023	0.213766	0.0428804	0.214526	0.251013	0.0989555	0.176226
Mammalia	Macaca_fascicularis	9541	Chordata	Mammalia	Primates	Cercopithecidae	GCA_000364345.1	10.8	3374100000	820	2.16717483187802	0.407798209893768	0.002642896136437	0.000497314890114	0.188170425336834	51.5	Pantheria	NA	1410.72	50	23.6	38	Pantheria	4590	Pantheria	NA	NA	1143.07	Pantheria	NA	NA	NA	3.94158180766969	3.63758615972639	8.43163530305459	548263840	16.42	20620516	0.61	4760	NA	85864456	2.57	201628	NA	181208380	5.43	138779228	4.15	13552	NA	64115032	1.92	57454388	1.72	0.113677199564621	0.557488554441162	0.479573996451412	NA	2.93485015366692	0.005621696982749	0.000129731468833	5.40547786802764e-05	0.248900633911201	1.52710155249649	3835582	18810221	16181306	NA	99024779	189682	4377	1824	8398156	51525933	355	0.016734164448432	0.016734164448432	0.195803802068916	23	0.00680852796906839	0.00680852796906839	0.104510600399667	32	0.0161934143586949	0.0161934143586949	0.109851743340085	0.0665615	0.0161943	0.227491	0.0626734	0.0538231	0.160745
Mammalia	Macaca_mulatta	9544	Chordata	Mammalia	Primates	Cercopithecidae	GCA_003339765.3	11.5	3511020000	815	3.04800813826154	0.637174245757513	0.00373988728621	0.0007818088905	0.209046110395536	55.499	Pantheria	0.347131782945736	1460	11.1	48.9	36	Pantheria	6450	Pantheria	NA	NA	1089.04	Pantheria	NA	NA	NA	4.01636500257204	3.58351893845611	8.77183540978982	679313752	19.48	49757340	1.42	86000	NA	138455196	3.97	198132	NA	246034984	7.05	78726992	2.25	86488	NA	136740584	3.92	29214176	0.83	0.312593346562573	1.04570964735553	0.800598786879684	NA	6.13435516907532	0.00327553240846	0.001564433389115	0.000472589252962	0.385893569315073	3.58333467776828	10975215	36715075	28109184	NA	215378437	115005	54928	16593	13548800	125811597	437	0.013075599440648	0.013075599440648	0.227341891347625	23	0.00875174640385333	0.00875174640385333	0.251117658431441	36	0.0213594062195452	0.0213594062195452	0.120899928916445	0.0665615	0.0200015	0.253132	0.0626734	0.0683308	0.161211
Mammalia	Macaca_nemestrina	9545	Chordata	Mammalia	Primates	Cercopithecidae	GCA_000956065.1	9.5	3481680000	831	6.05144400140754	1.88311861793851	0.007282122745376	0.002266087386208	0.31118500270357	49.066	Pantheria	NA	1430.8	18.9	NA	34.3	Pantheria	7870	Pantheria	NA	NA	1069.22	Pantheria	NA	NA	NA	3.89316633057784	3.53514535417189	8.97081334141145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	534	0.020887369111001	0.020887369111001	0.283242533349218	37	0.0114181761344019	0.0114181761344019	0.387612721341284	45	0.0298332009166577	0.0298332009166577	0.166386821450216	0.0863834	0.0405374	0.314194	0.105436	0.0820339	0.183295
Mammalia	Papio_anubis	9555	Chordata	Mammalia	Primates	Cercopithecidae	GCA_008728515.1	11.8	3479251335.93001	805	4.55421352761544	1.09718560253585	0.005657408108839	0.001362963481411	0.240916592048842	NA	NA	NA	NA	NA	NA	NA	NA	14480	AnimalTraits	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.58052366593971	597562104	17.3	35575964	1.03	90328	NA	110050300	3.18	2644776	0.07	192675520	5.57	73250660	2.12	168296	NA	123162588	3.56	59935752	1.73	0.155841467831825	0.55958348932699	0.556570148445086	NA	3.6123869616697	0.029585528658698	0.000654412413747	0.000334815653545	0.227628987730528	2.08194460931579	5422116	19469316	19364474	NA	125684022	1029355	22769	11649	7919785	72436086	499	0.019172229323999	0.019172229323999	0.2493587971539	37	0.00943250902603842	0.00943250902603842	0.189319046552222	38	0.0464445166432685	0.0464445166432685	0.241991939350412	0.0867527	0.0272863	0.286068	0.119918	0.102473	0.236145
Mammalia	Theropithecus_gelada	9565	Chordata	Mammalia	Primates	Cercopithecidae	GCA_003255815.1	11	3503227334.93231	818	5.02820567943402	1.20793764447708	0.006146950708355	0.001476696386891	0.24023234558954	61.999	Pantheria	NA	1505.62	51.4	112	28	Pantheria	16000	Pantheria	NA	NA	1642.5	Pantheria	NA	NA	NA	4.12711825588276	3.3322045101752	9.68034400122192	544900284	15.66	35801016	1.02	54056	NA	111714676	3.21	565208	0.01	191570424	5.5	76477164	2.19	59764	NA	94367836	2.71	34280240	0.98	0.177569973235051	0.69687869275933	0.650536267832511	NA	4.34280302629387	0.008858144469497	0.000797884336407	0.000341950429889	0.281034403307084	2.52606924235672	6220680	24413245	22789764	NA	152138263	310321	27952	11979	9845274	88493948	534	0.020023876803388	0.020023876803388	0.23504504960308	34	0.0214986296345142	0.0214986296345142	0.419155317298885	44	0.0288810138592577	0.0288810138592577	0.121597952687671	0.0867527	0.0650136	0.37373	0.119918	0.0579851	0.171535
Mammalia	Pygathrix_nemaeus	54133	Chordata	Mammalia	Primates	Cercopithecidae	GCA_004024825.1	11.8	3899632836.93948	719	10.120918462266	3.59501202503598	0.014076381727769	0.005000016724668	0.355206104904345	61	Pantheria	NA	NA	NA	9.3	25	Pantheria	9550	Pantheria	NA	NA	1460	AnAge	NA	NA	NA	4.11087386417331	3.2188758248682	9.16429643347478	1139438360	29.34	79400932	2.04	320160	NA	189279872	4.87	873232	0.02	326864508	8.41	70369228	1.81	114668	NA	445929296	11.48	26264684	0.67	1.22111151988097	3.98323635571778	2.39920536998101	NA	21.9135635340306	0.020126041075251	0.008087600801602	0.001394413931311	1.1109992997718	13.1676599154567	47618866	155331593	93560200	NA	854548519	784842	315387	54377	43324894	513490390	553	0.036346430672186	0.036346430672186	0.282012886392211	35	0.0151975079921373	0.0151975079921373	0.209421133492748	45	0.0490573699655429	0.0490573699655429	0.188356000128674	0.101289	0.0478084	0.231749	0.142996	0.103083	0.197689
Mammalia	Rhinopithecus_roxellana	61622	Chordata	Mammalia	Primates	Cercopithecidae	GCA_007565055.1	12.4	3683380126.21889	811	8.50234360430666	1.83034654034963	0.01048377756388	0.00225690078958	0.215275531727807	NA	NA	NA	NA	NA	NA	29.5	AnAge	14750	AnAge	NA	NA	NA	NA	NA	NA	NA	NA	3.38439026334577	9.59899836176797	1100938528	30.08	63192464	1.72	133700	NA	213445032	5.83	280460	NA	297920368	8.14	143712696	3.92	185536	NA	325509040	8.89	56533492	1.54	1.09164652311107	4.43965550461431	3.60978638183589	NA	22.3020931533338	0.008166195525286	0.00446025137124	0.002197329719655	2.06858915525955	11.0748533487387	40209491	163529389	132962154	NA	821470867	300792	164288	80936	76194002	407928947	621	0.032255438011825	0.032255438011825	0.21371973963923	38	0.0258931665805472	0.0258931665805472	0.212477617194778	46	0.0539127510730463	0.0539127510730463	0.168464311480787	0.101289	0.0489739	0.232199	0.142996	0.0984716	0.196896
Mammalia	Gorilla_gorilla_gorilla	9595	Chordata	Mammalia	Primates	Hominidae	GCA_008122165.1	10.6	3691120346.4053	804	8.48165965190489	2.01521281039284	0.010549327925255	0.002506483595016	0.23759651920721	159.687	Pantheria	NA	3650	0.59	10	54	Pantheria	114000	Pantheria	NA	NA	2828.74	Pantheria	NA	NA	NA	5.07321564927766	3.98898404656427	11.6439537273766	914265724	24.95	43814068	1.19	220704	NA	123618348	3.37	585256	0.01	229951244	6.27	78822632	2.15	804216	0.02	400114068	10.91	36320932	0.99	0.227162422397087	0.999228900930067	0.591518267427754	NA	6.6677372655169	0.007024874754074	0.002396196685182	0.002053882873013	0.309704700757451	4.52778479355724	8384838	36882741	21833651	NA	246114207	259297	88447	75811	11431573	167125986	643	0.031565826934763	0.031565826934763	0.217813016226421	46	0.0231085172717943	0.0231085172717943	0.275627610359033	41	0.051096938127002	0.051096938127002	0.141939095201577	0.220949	0.0341339	0.279835	0.221066	0.0647039	0.173522
Mammalia	Pan_paniscus	9597	Chordata	Mammalia	Primates	Hominidae	GCA_013052645.3	10.7	3883149627.34741	822	2.09406079070906	0.548684501433699	0.002547519210108	0.000667499393472	0.262019375878726	75.458	Pantheria	NA	NA	2	90	48	Pantheria	35200	Pantheria	NA	NA	4686.85	Pantheria	NA	NA	NA	4.32357621007679	3.87120101090789	10.4688013615862	1220291068	31.56	88851488	2.29	335532	NA	190613384	4.92	392388	0.01	349611920	9.04	63009216	1.62	83472	NA	516957744	13.37	10404640	0.26	1.51233866419424	4.65486493669227	2.53457002572234	NA	24.7466668590731	0.009500067943524	0.008754492990994	0.001058235416494	1.23827974212727	14.785184223153	58726373	180755370	98421147	NA	960950102	368902	339950	41093	48084255	574130826	381	0.010357766746875	0.010357766746875	0.26068896451512	37	0.00833375093738298	0.00833375093738298	0.339704242900058	30	0.0154045715669669	0.0154045715669669	0.187372154554478	0.117693	0.0199669	0.371144	0.0710414	0.043483	0.178273
Mammalia	Pan_troglodytes	9598	Chordata	Mammalia	Primates	Hominidae	GCA_002880755.3	10.3	3383880000	829	2.13087228215143	0.527813520470993	0.002570412885587	0.000636686996949	0.247698336916789	79.756	Pantheria	0.199556541019956	5073.5	1.64	45	60	Pantheria	45100	Pantheria	NA	NA	3309.15	Pantheria	NA	NA	NA	4.37897197394465	4.0943445622221	10.7166375254908	549240360	16.35	36659584	1.09	86468	NA	109642432	3.26	484472	0.01	205926500	6.13	96010408	2.85	1297184	0.03	73511920	2.18	25615056	0.76	0.153987473000342	0.556480008079608	0.402687912509386	NA	2.95246857880053	0.005530684175691	0.000871683918995	0.004388477661146	0.246611403910073	1.58127971615567	5210751	18830616	13626476	NA	99907994	187152	29497	148501	8345034	53508608	377	0.011602505783002	0.011602505783002	0.259516649573289	29	0.00917864530886276	0.00917864530886276	0.513010881223326	27	0.0190734517970667	0.0190734517970667	0.126506501203445	0.117693	0.0198025	0.412039	0.0710414	0.0381294	0.193109
Mammalia	Pongo_abelii	9601	Chordata	Mammalia	Primates	Hominidae	GCA_002880775.3	10.7	3715544746.13804	826	18.4027315149223	3.85702681956932	0.022279335974482	0.004669523994636	0.20958990878293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	735102580	19.91	55546600	1.5	119196	NA	111754880	3.02	74536	NA	314132832	8.51	87391928	2.36	393460	0.01	133144480	3.6	32530016	0.88	0.311859106055169	1.30160022110611	0.390682976024093	NA	5.33320307840185	0.001030912146158	0.002012733237737	0.001194548994754	0.299635433465012	3.02458169103301	11587265	48361539	14516001	NA	198157547	38304	74784	44384	11133089	112379686	715	0.063582096896646	0.063582096896646	0.201956496316074	50	0.0423949913694441	0.0423949913694441	0.314634840982394	44	0.107071834845658	0.107071834845658	0.108763625967356	0.352642	0.0404909	0.318455	0.353866	0.0898653	0.132599
Mammalia	Hylobates_moloch	81572	Chordata	Mammalia	Primates	Hylobatidae	GCA_009828535.2	11.9	3168720000	805	8.32963587659814	2.03790908486352	0.010347373759749	0.002531564080576	0.24465764350984	67.753	Pantheria	NA	NA	6.18	NA	45	AnAge	5870	Pantheria	NA	NA	NA	NA	NA	NA	NA	4.21586873922227	3.80666248977032	8.67760991282214	428071388	13.59	30185240	0.95	59996	NA	83384076	2.64	1113144	0.03	152490668	4.84	61885416	1.96	939512	0.02	80368624	2.55	17635604	0.56	0.155668676883403	0.546308217456459	0.405452337140785	NA	3.51266666794584	0.019264310562176	0.000709939731873	0.007809337050603	0.264807519988641	2.11159101331425	4932704	17310978	12847649	NA	111306571	610432	22496	247456	8391009	66910407	625	0.028603280463915	0.028603280463915	0.228427344647811	48	0.0227591286641675	0.0227591286641675	0.276281308693922	45	0.0411633556343978	0.0411633556343978	0.170040596035907	0.175461	0.0422717	0.287538	0.194172	0.0619455	0.175827
Mammalia	Nomascus_leucogenys	61853	Chordata	Mammalia	Primates	Hylobatidae	GCA_006542625.1	10.7	3447978569.65501	832	8.61398441209259	1.65795232771415	0.01035334664915	0.001992731163118	0.192472176451429	NA	NA	NA	NA	NA	NA	44.1	AnAge	6000	AnAge	NA	NA	NA	NA	NA	NA	NA	NA	3.7864597824528	8.69951474821019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	625	0.030270830941368	0.030270830941368	0.191487982148198	45	0.019584350302315	0.019584350302315	0.195373110983792	45	0.0583045684258849	0.0583045684258849	0.110526934826506	0.175461	0.0347866	0.239699	0.194172	0.0723456	0.142984
Mammalia	Daubentonia_madagascariensis	31869	Chordata	Mammalia	Primates	Daubentoniidae	GCA_004027145.1	4.4	3029732074.55109	868	57.64273765613	8.69794904016066	0.066408683935634	0.010020678617697	0.150894100347014	40	Pantheria	NA	1277.5	39.8	1	24.3	Pantheria	2750	Pantheria	NA	NA	775.73	Pantheria	NA	NA	NA	3.68887945411394	3.1904763503465	7.91935619066062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	760	0.193751343890998	0.193751343890998	0.158698407776361	48	0.123657636374674	0.123657636374674	0.166681066395518	49	0.341084540534594	0.341084540534594	0.112633686879776	0.609223	0.0651791	0.177212	0.579902	0.173834	0.127423
Mammalia	Mirza_coquereli	47180	Chordata	Mammalia	Primates	Cheirogaleidae	GCA_004024645.1	9	2839042583.21802	690	6.2810473398351	2.0497634613953	0.009102967159181	0.002970671683182	0.32634103048316	NA	NA	NA	NA	NA	NA	17.4	AnAge	311.2	AnAge	NA	NA	293.5	AnAge	NA	NA	NA	NA	2.85647020622048	5.74043579230424	612436628	21.66	63691284	2.25	138008	NA	81876256	2.89	117588	NA	235257724	8.32	36416500	1.28	12984	NA	184762976	6.53	10143904	0.35	0.875672930960773	2.7833789214555	1.0411517249111	NA	12.9237407888208	0.003716168424248	0.006464259359826	0.000249826448689	0.620287843788518	7.59100787171911	24860727	79021313	29558741	NA	366910504	105504	183523	7093	17610236	215511946	194	0.060622644689367	0.060622644689367	0.216179414894492	18	0.0674976360121207	0.0674976360121207	0.23106133569056	14	0.033987398736343	0.033987398736343	0.140007575082196	0.0296544	0.105714	0.184273	0.0202034	0.106568	0.160156
