Phylum	SubPhylum	Class	Order	Family	Species	Accession_assembly	Assembly_size	Reads_assembly	Cvalue	Chromnum	Method	Celltype	Stdsp	Date	Reference	Notes
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Scaptodrosophila lebanonensis	GCA_003285725.2	247077949	LR-SR	215160000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila orena	GCA_005876975.1	182891478	LR-SR	273840000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila azteca	GCA_005876895.1	219083522	LR-SR	195600000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila sechellia	GCA_004382195.1	154170815	LR	166260000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila mauritiana	GCA_004382145.1	152298302	LR	146700000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila simulans	GCA_004382185.1	146754366	LR	146700000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila serrata	GCA_002093755.1	198035861	LR	205380000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila busckii	GCA_011750605.1	118492362	LR-SR	136920000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Scaptomyza flava	GCA_003952975.1	214836881	SR	293400000		FCM	BR	DM	2011	Whiteman, N.K., S.C. Groen, D. Chevasco, A. Bear, N. Beckwith, T.R. Gregory, C. Denoux, N. Mammarella, F.M. Ausubel, and N.E. Pierce (2011). Mining the plant-herbivore interface with a leafminingA DrosophilaA ofA Arabidopsis. Molecular Ecology 20: 995-101	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila bifasciata	GCA_009664405.1	192749618	LR	195600000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila erecta	GCA_003286155.2	146538397	LR-SR	156480000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila novamexicana	GCA_003285875.3	177223868	LR-SR	244500000		FCM	OV	DM	2007	Bosco, G., P. Campbell, J.T. Leiva-Neto, and T.A. Markow (2007). Analysis of Drosophila species genome size and satellite DNA content reveals significant differences among strains as well as between species. Genetics 177: 1277-1290.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila persimilis	GCA_003286085.2	195512972	LR-SR	176040000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila ananassae	GCA_003285975.3	217108776	LR-SR	185820000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila subobscura	GCA_903684685.1	126792960		146700000		FCM	BR	TN	2005	Nardon, C., G. Deceliere, C. Loevenbruck, M. Weiss, C. Vieira, C. Biemont (2005). Is genome size influenced by colonization of new environments in dipteran species. Molecular Ecology 14: 869-878.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila triauraria	GCA_014170255.2	195275685	LR-SR	244500000		FCM	BR	DM	2017	Hjelmen, C.E. and J.S. Johnston (2017). The mode and tempo of genome size evolution in the subgenus Sophophora. PLOS One 12: e0173505.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila virilis	GCA_007989325.2	169771745	LR	332520000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila pseudoobscura	GCA_009870125.2	163266851	LR	156480000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila biarmipes	GCA_005234255.1	224092364	LR	195600000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila elegans	GCA_000224195.2	171267669	SR	195600000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila ficusphila	GCA_000220665.2	152439475	SR	185820000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila eugracilis	GCA_000236325.2	156942009	SR	224940000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila kikkawai	GCA_000224215.2	164292578	SR	205380000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila bipectinata	GCA_000236285.2	167263958	SR	195600000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila takahashii	GCA_000224235.2	182106768	SR	195600000		FCM	BR	DM, TF	2008	Gregory, T.R. and J.S. Johnston (2008). Genome size diversity in the family Drosophilidae. Heredity 101: 228-238.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Drosophilidae	Drosophila willistoni	GCA_000005925.1	235516348		205380000		FCM	OV	DM	2007	Bosco, G., P. Campbell, J.T. Leiva-Neto, and T.A. Markow (2007). Analysis of Drosophila species genome size and satellite DNA content reveals significant differences among strains as well as between species. Genetics 177: 1277-1290.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Glossinidae	Glossina pallidipes	GCA_000688715.1	357332231	SR	459660000		FCM	BR	DV	2005	Aksoy, S., M. Berriman, N. Hall, M. Hattori, W. Hide, and M.J. Lehane (2005). A case for a Glossina genome project. Trends in Parasitology 21: 107-111.	one measure
Arthropoda	Hexapoda	Insecta	Diptera	Muscidae	Musca domestica	GCA_014843735.1	427466556	LR	899760000		FCM	BR	DM	2013	Gregory, T.R.,A P. Nathwani, T.R. Bonnett, and D.P.W. Huber (2013). Sizing up arthropod genomes: an evaluation of the impact of environmental variation on genome size estimates by flow cytometry and the use of qPCR as a method of estimation. Genome 56: 50	most recent
Arthropoda	Hexapoda	Insecta	Diptera	Scatopsidae	Coboldia fuscipes	GCA_001014335.1	98759061	SR	97800000		FCM	BR	DM	2009	Schmidt-Ott, U., A.M. Rafiqi, K. Sander, and J.S. Johnston (2009). Extremely small genomes in two unrelated dipteran insects with shared early developmental traits. Development Genes and Evolution 219: 207-210.	average of most recent ones
Arthropoda	Hexapoda	Insecta	Diptera	Stratiomyidae	Hermetia illucens	GCA_009835165.1	1101327485	SR	1154040000		FCM	BR	DV	2012	Picard, C.J., J.S. Johnston, and A.M. Tarone (2012). Genome sizes of forensically relevant Diptera. Journal of Medical Entomology 49: 192-197.	one measure
Chordata	Vertebrata	Actinopteri	Esociformes	Esocidae	Esox lucius	GCA_011004845.1	918748614	LR-SR	1124700000	50	FCM	RBC	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	one measure
Chordata	Vertebrata	Mammalia	Eulipotyphla	Talpidae	Talpa occidentalis	GCA_014898055.1	2098020470	LR-SR	2445000000	34	FCM	TH	MM	1995	Sanchez, A., C. Stamatopoulos, and C.A. Redi (1995). Descriptive kinetics of the seminiferous epithelium cycle and genome size in the mole Talpa occidentalis (Insectivora). Journal of Experimental of Zoology273: 51-58.	one measure
Chordata	Vertebrata	Aves	Falconiformes	Falconidae	Falco tinnunculus	GCA_010332995.1	1179901403	SR	1506120000	52	FCM	RBC	GD, HS	1994	De Vita, R., D. Cavallo, P. Eleuteri, and G. DellOmo (1994). Evaluation of interspecific DNA content variations and sex identification in Falconiformes and Strigiformes by flow cytometric analysis. Cytometry 16: 346-350.	one measure
Chordata	Vertebrata	Aves	Galliformes	Numididae	Numida meleagris	GCA_002078875.2	1043264150	SR	1281180000		FCM	RBC	GD	1994	Peterson, D.G., S.M. Stack, J.L. Healy, B.S. Donohoe, and L.K. Anderson (1994). The relationship between synaptonemal complex length and genome size in four vertebrate classes (Osteichthyes, Reptilia, Aves, Mammalia). Chromosome Research 2: 153-162.	one measure
Chordata	Vertebrata	Aves	Galliformes	Phasianidae	Coturnix japonica	GCA_001577835.2	927656957	SR	1378980000	78	FCM	RBC	GD, HS, V	1990	Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.	one measure
Chordata	Vertebrata	Aves	Galliformes	Phasianidae	Pavo muticus	GCA_016647715.1	1061110005	SR	1310520000		FCM	RBC	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Aves	Galliformes	Phasianidae	Phasianus colchicus	GCA_004143745.1	1017524032	SR	1232280000	82	FCM	RBC	GD, HS, V	1991	Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.	one measure
Chordata	Vertebrata	Aves	Gruiformes	Otididae	Ardeotis kori	GCA_013396375.1	1150486959	SR	1388760000		FCM	RBC	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Arthropoda	Hexapoda	Insecta	Hemiptera	Aleyrodidae	Bemisia tabaci	GCA_001854935.1	615001830	LR-SR	665040000		FCM	WB	DM	2015	Guo, L.T., S.L. Wang, Q.J. Wu, X.G. Zhou, W. Xie, and Y.J. Zhang (2015). Flow cytometry and K-mer analysis estimates of the genome sizes of Bemisia tabaci B and Q (Hemiptera: Aleyrodidae). Frontiers in Physiology 6: 144.	one measure
Arthropoda	Hexapoda	Insecta	Hemiptera	Aphididae	Schizaphis graminum	GCA_003264975.1	385164702	SR	518340000		FCM	WB	GD	1994	Thindwa, H.P., G.L. Teetes, and J.S. Johnston (1994). Greenbug DNA content. Southwestern Entomologist 19: 371-378.	one measure
Arthropoda	Hexapoda	Insecta	Hemiptera	Delphacidae	Laodelphax striatellus	GCA_003335185.2	539918070	LR-SR	508560000		FCM	BR	DM	2016	He, K., K. Lin, G. Wang, and F. Li (2016). Genome size of nine insect species determined by flow cytometry and k-mer analysis. Frontiers in Physiology 7: 569.	one measure
Arthropoda	Hexapoda	Insecta	Hemiptera	Delphacidae	Sogatella furcifera	GCA_014356515.1	656291902	SR	694380000		FCM	BR	DM	2016	He, K., K. Lin, G. Wang, and F. Li (2016). Genome size of nine insect species determined by flow cytometry and k-mer analysis. Frontiers in Physiology 7: 569.	one measure
Arthropoda	Hexapoda	Insecta	Hemiptera	Miridae	Apolygus lucorum	GCA_009739505.2	1023618409	LR	880200000		FCM	BR	DM	2016	He, K., K. Lin, G. Wang, and F. Li (2016). Genome size of nine insect species determined by flow cytometry and k-mer analysis. Frontiers in Physiology 7: 569.	one measure
Arthropoda	Hexapoda	Insecta	Hemiptera	Reduviidae	Triatoma infestans	GCA_011037195.1	949486157	LR-SR	1603920000	44	FCM	TS	HS	2004	Panzera, F., J.P. Dujardin, P. Nicolini, M.N. Caraccio, V. Rose, T. Tellez, H. Bermudez, M.D. Bargues, S. Mas-Coma, J.E. OConnor, and R. Perez. (2004). Genomic changes of chagas disease vector, South America. Emerging Infectious Diseases 10: 438-446.	average of most recent ones
Arthropoda	Hexapoda	Insecta	Hymenoptera	Apidae	Bombus impatiens	GCA_000188095.4	246856484	SR	508560000		FCM	BR	DM	2011	Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19	most recent
Arthropoda	Hexapoda	Insecta	Hymenoptera	Apidae	Frieseomelitta varia	GCA_011392965.1	275421029	SR	459660000		FCM	BR	SX	2012	Tavares, M.G., C.R. Carvalho, F.A.F. Soares, and L.A. de Oliveira Campos (2012). Genome size diversity in stingless bees (Hymenoptera: Apidae, Meliponini). Apidologie 43: 731-736.	one measure
Arthropoda	Hexapoda	Insecta	Hymenoptera	Apidae	Apis mellifera	GCA_003254395.2	225234541	LR-SR	234720000		FCM	BR	DM	2010	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19	most recent
Arthropoda	Hexapoda	Insecta	Hymenoptera	Apidae	Bombus terrestris	GCA_000214255.1	248654244	SR	625920000	36	FCM	MC	GD	2006	Wilfert, L., J. Gadau, P. Schmid-Hempel (2006). A core linkage map of the bumblebee Bombus terrestris. Genome 49: 1215-1226.	most recent
Arthropoda	Hexapoda	Insecta	Hymenoptera	Braconidae	Macrocentrus cingulum	GCA_002156465.1	127916415	SR	156480000		FCM	BR	DM	2016	He, K., K. Lin, G. Wang, and F. Li (2016). Genome size of nine insect species determined by flow cytometry and k-mer analysis. Frontiers in Physiology 7: 569.	one measure
Arthropoda	Hexapoda	Insecta	Hymenoptera	Figitidae	Leptopilina boulardi	GCA_011634795.1	375718377	LR-SR	361860000		FCM	BR	DM,DV	2011	Gokhman, V.E., J.S. Johnston, C. Small, R. Rajwani, S.J. Hanrahan, and S. Govind (2011). Genomic and karyotypic variation in Drosophila parasitoids (Hymenoptera, Cynipoidea, Figitidae). Comparative Cytogenetics 5: 211-221.	one measure
Arthropoda	Hexapoda	Insecta	Hymenoptera	Formicidae	Solenopsis invicta	GCA_010367695.1	413978255	LR	753060000		FCM	BR	DM	2004	Johnston, J.S., L.D. Ross, L. Beani, D.P. Hughes, and J. Kathirithamby (2004).  Tiny genomes and endoreduplication in Strepsiptera.  Insect Molecular Biology 13: 581-585.	one measure
Arthropoda	Hexapoda	Insecta	Hymenoptera	Megachilidae	Megachile rotundata	GCA_000220905.1	272660569	SR	811740000		FCM	BR	DM	2010	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19	one measure
Arthropoda	Hexapoda	Insecta	Hymenoptera	Trichogrammatidae	Trichogramma brassicae	GCA_902806795.1	235386796		244500000		FCM	BR	DM	2004	Johnston, J.S., L.D. Ross, L. Beani, D.P. Hughes, and J. Kathirithamby (2004).  Tiny genomes and endoreduplication in Strepsiptera.  Insect Molecular Biology 13: 581-585.	one measure
Arthropoda	Hexapoda	Insecta	Hymenoptera	Trichogrammatidae	Trichogramma pretiosum	GCA_000599845.3	187641947	SR	185820000		FCM	BR	DM	2010	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19	one measure
Arthropoda	Hexapoda	Insecta	Hymenoptera	Vespidae	Polistes fuscatus	GCA_010416935.1	219116742	LR	400980000		FCM	BR	DM	2010	Ardila-Garcia, A.M., G.J. Umphrey, and T.R. Gregory (2010). An expansion of the genome size dataset for the insect order Hymenoptera, with a first test of parasitism and eusociality as possible constraints. Insect Molecular Biology 19	one measure
Arthropoda	Hexapoda	Insecta	Hymenoptera	Vespidae	Vespula germanica	GCA_014466195.1	178197338	SR	224940000		FCM	BR	DV	2011	Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19	most recent
Arthropoda	Chelicerata	Arachnida	Ixodida	Ixodidae	Ixodes scapularis	GCA_016920785.2	2226883318	LR	2484120000	28	FCM	BR	GD	2007	Geraci, N.S., J.S. Johnston, J.P. Robinson, S.K. Wikel, and C.A. Hill (2007). Variation in genome size of argasid and ixodid ticks. Insect Biochemistry and Molecular Biology 37: 399-408.	average of most recent ones
Chordata	Vertebrata	Mammalia	Lagomorpha	Leporidae	Oryctolagus cuniculus	GCA_000003625.1	2737462810		3188280000	44	FCM	SP	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	most recent
Chordata	Vertebrata	Chondrichthyes	Lamniformes	Alopiidae	Carcharodon carcharias	GCA_017639515.1	4286311191	LR-SR	6308100000	82	FCM	RBC	GD	1986	Schwartz, F.J. and M.B. Maddock (1986). Comparisons of karyotypes and cellular DNA contents within and between major lines of elasmobranchs. In: Indo-Pacific Fish Biology, edited by T. Uyeno, R. Arai, T. Taniuchi and K. Matsuura. Ichthyological Society of	one measure
Arthropoda	Hexapoda	Insecta	Lepidoptera	Bombycidae	Bombyx mandarina	GCA_003987935.1	398573003	SR	469440000		FCM	BR	DV	2011	Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19	one measure
Arthropoda	Hexapoda	Insecta	Lepidoptera	Saturniidae	Actias luna	GCA_010014465.1	684275567	SR	547680000		FCM	BR	DV	2011	Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19	one measure
Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Manduca sexta	GCA_014839805.1	470021481	LR-SR	420540000		FCM	BR	DV	2011	Hanrahan, S.J. and J.S. Johnston (2011). New genome size estimates of 134 species of arthropods. Chromosome Research 19	one measure
Brachiopoda	Linguliformea 	Lingulata	Lingulida	Lingulidae	Lingula anatina	GCA_001039355.2	406308128	LR-SR	400980000		FCM	NS	HDH	2013	Adachi, K., T. Kuramochi, K. Kimura, and S.-I. Okumura (2013). First extensive examination of genome size in phylum Brachiopoda (lamp shells) collected from Japan. Journal of Shellfish Research 32: 539-541.	one measure
Arthropoda	Chelicerata	Arachnida	Mesostigmata	Varroidae	Varroa destructor	GCA_002443255.1	368942295	LR-SR	567240000		FCM	BR	DV	2010	Cornman, S.R., M.C. Schatz, J.S. Johnston, Y.-P. Chen, J. Pettis, G. Hunt, L. Bourgeois, C. Elsik, D. Anderson, C.M. Grozinger, and J.D. Evans (2010). Genomic survey of the ectoparasitic mite Varroa destructor, a major pest of the honey bee Apis mellifera	one measure
Mollusca		Bivalvia	Mytiloida	Mytilidae	Mytilus edulis	GCA_905397895.1	1827085763		1672380000		FCM	G	GD	1996	Rodri­guez-Jui­z, A.M., M. Torrado, and J. Mendez (1996). Genome-size variation in bivalve molluscs determined by flow cytometry. Marine Biology 126: 489-497.	one measure
Mollusca		Bivalvia	Mytiloida	Mytilidae	Mytilus galloprovincialis	GCA_900618805.1	1282208009		1877760000		FCM	G	GD	1996	Rodri­guez-Jui­z, A.M., M. Torrado, and J. Mendez (1996). Genome-size variation in bivalve molluscs determined by flow cytometry. Marine Biology 126: 489-497.	one measure
Chordata	Vertebrata	Actinopteri	NA	Moronidae	Dicentrarchus labrax	GCA_905237075.1	695892153		762840000		FCM	RBC	HS	2005	Peruzzi, S., B. Chatain, and B. Menu (2005). Flow cytometric determination of genome size in European seabass (Dicentrarchus labrax), gilthead seabream (Sparus aurata), thinlip mullet (Liza ramada), and European eel (Anguilla anguilla). Aquatic Living Res	one measure
Mollusca		Bivalvia	Ostreida	Ostreidae	Crassostrea gigas	GCA_902806645.1	647887097		635700000		FCM	MC, MT	GD, DR	2012	Zhang, G., X. Fang, X. Guo, L. Li, R. Luo, F. Xu, P. Yang, L. Zhang, X. Wang, H. Qi, Z. Xiong, H. Que, Y. Xie, P.W.H. Holland, J. Paps, Y. Zhu, F. Wu, Y. Chen, J. Wang, C. Peng, J. Meng, L. Yang, J. Liu, B. Wen, N. Zhang, Z. Huang, Q. Zhu, Y. Feng, A. Mou (2012).	one measure
Tardigrada		Eutardigrada	Parachela	Hypsibiidae	Hypsibius dujardini	GCA_002082055.1	104154999	LR-SR	127140000		FCM	WB	CE, GD	2016	Koutsovoulos, G., S. Kumar, D.R. Laetsch, L. Stevens, J. Daub, C. Conlon, H. Maroon, F. Thomas, A.A. Aboobaker, and M. Blaxter (2016). No evidence for extensive horizontal gene transfer in the genome of the tardigrade Hypsibius dujardini. Proceedings of t	most recent
Tardigrada		Eutardigrada	Parachela	Ramazzottiidae	Ramazzottius varieornatus	GCA_001949185.1	55842812	SR	48900000		FCM	WB	DM	2016	Hashimoto, T., D.D. Horikawa, Y. Saito, H. Kuwahara, H. Kozuka-Hata, T. Shin-I, Y. Minakuchi, K. Ohishi, A. Motoyama, T. Aizu, A. Enomoto, K. Kondo, S. Tanaka, Y. Hara, S. Koshikawa, H. Sagara, T. Miura, S.-i. Yokobori, K. Miyagawa, Y. Suzuki, T. Kubo, M. (2016).	one measure
Chordata	Vertebrata	Aves	Passeriformes	Estrildidae	Taeniopygia guttata	GCA_003957565.4	1056271262		1222500000		FCM	RBC	GD	1994	Peterson, D.G., S.M. Stack, J.L. Healy, B.S. Donohoe, and L.K. Anderson (1994). The relationship between synaptonemal complex length and genome size in four vertebrate classes (Osteichthyes, Reptilia, Aves, Mammalia). Chromosome Research 2: 153-162.	one measure
Chordata	Vertebrata	Aves	Passeriformes	Fringillidae	Passerina amoena	GCA_013401095.1	1068852817	SR	1359420000		FCM	RBC	GD	1994	Peterson, D.G., S.M. Stack, J.L. Healy, B.S. Donohoe, and L.K. Anderson (1994). The relationship between synaptonemal complex length and genome size in four vertebrate classes (Osteichthyes, Reptilia, Aves, Mammalia). Chromosome Research 2: 153-162.	one measure
Chordata	Vertebrata	Aves	Passeriformes	Passerellidae	Zonotrichia albicollis	GCA_000385455.1	1052600561	SR	1339860000	82	FCM	RBC	GD, HS, V	1991	Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.	one measure
Chordata	Vertebrata	Aves	Passeriformes	Passeridae	Passer domesticus	GCA_001700915.1	1042720703	SR	1535460000		FCM	RBC	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	most recent
Mollusca		Bivalvia	Pectinida	Pectinidae	Pecten maximus	GCA_902652985.1	918306378		1388760000		FCM	G	GD	1996	Rodri­guez-Jui­z, A.M., M. Torrado, and J. Mendez (1996). Genome-size variation in bivalve molluscs determined by flow cytometry. Marine Biology 126: 489-497.	one measure
Chordata	Vertebrata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus aculeatus aculeatus	GCA_016920845.1	471894361	LR	567240000		FCM	RBC	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	one measure
Chordata	Vertebrata	Actinopteri	Perciformes	Percidae	Perca fluviatilis	GCA_010015445.1	951345774	LR-SR	1193160000	48	FCM	RBC	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	one measure
Chordata	Vertebrata	Actinopteri	Perciformes	Percidae	Sander lucioperca	GCA_008315115.2	901238333	LR-SR	1114920000	48	FCM	RBC	HS, RT	1998	Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.	one measure
Chordata	Vertebrata	Actinopteri	Perciformes	Pholidae	Pholis gunnellus	GCA_910591455.1	588730976		704160000		FCM	RBC	GD	2008	Libertini, A. and M. Rampin (2008). Unpublished data.	one measure
Chordata	Vertebrata	Mammalia	Perissodactyla	Equidae	Equus caballus	GCA_002863925.1	2506966135	LR-SR	3080700000	64	FCM	LK	HS, GD, V	1989	Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.	most recent
Chordata	Vertebrata	Mammalia	Perissodactyla	Rhinocerotidae	Diceros bicornis	GCA_004027315.2	3060207893	SR	3266520000		FCM	LK	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Mammalia	Perissodactyla	Tapiridae	Tapirus indicus	GCA_004024905.1	2425203111	SR	2689500000		FCM	LK	HS, OM	2005	Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.	one measure
Chordata	Vertebrata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Petromyzon marinus	GCA_010993605.1	1089050413	LR	2053800000		FCM	RBC	GD, HS, V	1989	Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.	one measure
Rotifera		Eurotatoria	Ploima	Brachionidae	Brachionus manjavacas	GCA_019054805.1	114172357	LR-SR	127140000		FCM	WB	DM, GD	2011	Stelzer, C.-P., S. Riss, and P. Stadler (2011). Genome size evolution at the speciation level: the cryptic species complex Brachionus plicatilis (Rotifera). BMC Evolutionary Biology 11: 90.	one measure
Rotifera		Eurotatoria	Ploima	Brachionidae	Brachionus plicatilis	GCA_010279815.1	106939251	SR	117360000		FCM	WB	DM, GD	2011	Stelzer, C.-P., S. Riss, and P. Stadler (2011). Genome size evolution at the speciation level: the cryptic species complex Brachionus plicatilis (Rotifera). BMC Evolutionary Biology 11: 90.	one measure
